S860;S840;S844;S848;S830a;S830b;S830c;S890;D802_806sb;D802_806rb;D802_806sc;D802_806rc;D808_810sb;D808_810rb;D818_820sa;D818_820ra;D820_822sa;D820_822ra;D816_824sb;D816_824rb;D824_826sb;D824_826rb;D824_828sc;D824_828rc;D828_830sa;D828_830ra;D854_856sb;D854_856rb;D832_858sa;D832_858ra;D832_858sb;D832_858rb;D832_858sc;D832_858rc;D858_864sb;D858_864rb;D858_834sa;D858_834ra;D858_834sb;D858_834rb;D858_834sc;D858_834rc;D834_860sa;D834_860ra;D834_860sb;D834_860rb;D834_860sc;D834_860rc;D860_836sa;D860_836ra;D860_836sb;D860_836rb;D860_836sc;D860_836rc;D836_840sa;D836_840ra;D836_840sb;D836_840rb;D862_838sb;D862_838rb;D842_844sa;D842_844ra;D844_846sb;D844_846rb;D844_846sc;D844_846rc;D846_848sb;D846_848rb
4947.907939;2653.413147;7626.294292;9141.757371;15718.89859;2179.427642;4660.089293;3373.953632;3243.800264;5613.270531;2905.436345;8368.045827;3096.675484;6796.474099;2469.875803;6388.766165;5006.866634;4636.365374;10345.42324;2290.284729;4950.700009;2882.349782;78.32894362;9245.817406;4682.714086;2836.228419;4650.888677;2536.840809;19009.83375;11128.98431;5364.93861;10422.71665;3482.493048;14221.62393;1434.2646;17753.97453;23056.4355;3172.917137;23778.5685;5952.88905;7156.059634;3169.634115;6672.811684;4511.807019;2332.270352;2423.021921;8327.33188;14677.23209;413.6900771;8946.138351;3023.805293;1858.892545;8064.950629;6665.078797;2933.263914;15042.00933;13928.50333;10013.24257;2028.58312;3926.783732;6741.03925;11284.75028;4179.1172;754.1146873;3348.637245;5334.819954;20808.66418;8157.274592
4935.324242;2676.820251;7679.556161;9137.542527;16036.67433;2182.80623;4663.308069;3237.979042;3307.077302;5648.510773;2904.301027;8371.500776;3092.942133;6754.821391;2479.858617;6413.721371;5014.568484;4643.523089;10317.69975;2288.449478;4926.54896;2922.732794;80.51070182;9238.60957;4686.946509;2783.484071;4582.783989;2524.889325;19045.72864;11166.77338;5343.761749;10439.42051;3500.399645;14288.0837;1426.916319;17881.74321;23118.3243;3211.442328;23769.61754;5940.949517;7180.518288;3184.622458;6685.37609;4579.423513;2334.444031;2420.876439;8458.188884;14641.09816;404.424224;8960.707341;3048.3745;1866.130875;8005.308847;6707.104415;2933.32687;15102.77917;13984.81507;10095.32178;2010.889734;3924.073844;6765.033781;11389.20339;4215.813029;762.2875138;3369.869545;5354.181655;20843.52268;8094.574
4927.099515;2697.861995;7729.908427;9134.232461;16255.33231;2184.383138;4667.309007;3116.157855;3352.249812;5652.055968;2903.799792;8374.179596;3093.955335;6717.004476;2492.465271;6432.379763;5021.610232;4650.065682;10298.19667;2283.81777;4905.29503;2968.593308;83.69556833;9237.874478;4690.073242;2730.99658;4522.500408;2520.148702;19085.21686;11209.15777;5321.976697;10462.37074;3513.20104;14366.06032;1422.07194;18004.60344;23186.17305;3248.690629;23767.16447;5934.950319;7202.06317;3197.535705;6695.737228;4622.137977;2335.798691;2421.112256;8591.960674;14614.76503;395.8337924;8987.44812;3073.812361;1869.371619;7951.145821;6748.376675;2932.886133;15177.02181;14053.59143;10154.91972;1994.659611;3920.484141;6801.546757;11493.79051;4253.523154;769.6308416;3392.278359;5370.740006;20884.61228;8047.801111
4924;2716;7776;9132;16360;2184;4672;3012;3376;5620;2904;8376;3100;6684;2508;6444;5028;4656;10288;2276;4888;3020;88;9244;4692;2680;4472;2524;19128;11256;5300;10492;3520;14456;1420;18120;23260;3284;23772;5936;7220;3208;6704;4636;2336;2424;8728;14600;388;9028;3100;1868;7904;6788;2932;15266;14136;10188;1980;3916;6852;11596;4292;776;3416;5384;20932;8020
4926.55325;2730.843583;7816.721167;9130.953569;16340.66596;2181.581599;4677.290557;2928.133634;3376.077486;5550.028795;2904.954496;8376.85827;3111.243649;6656.589482;2526.63096;6448.053598;5033.710908;4661.300692;10287.78496;2264.743016;4875.454937;3076.849892;93.49479295;9257.149147;4692.65123;2631.499312;4432.745071;2537.408303;19173.69128;11307.01202;5278.211874;10528.46002;3520.264459;14558.12137;1420.869419;18225.87726;23339.72231;3316.847429;23784.63755;5944.850534;7233.80991;3215.752638;6710.297907;4618.419955;2334.811618;2429.718575;8865.437815;14598.08077;380.9802072;9083.395378;3126.775298;1861.612236;7865.181972;6825.273334;2930.741909;15370.27263;14232.55713;10191.84849;1966.997557;3910.634216;6917.236824;11693.71018;4330.974417;781.2869817;3441.075357;5393.625894;20985.56789;8013.358571
4934.332059;2742.592849;7851.927728;9130.943997;16206.76306;2177.385335;4683.096662;2863.659821;3354.50155;5446.19644;2906.658076;8376.564945;3127.384252;6634.773948;2547.981986;6444.863492;5038.576069;4665.813601;10296.58377;2250.339473;4867.368061;3138.353376;100.0681004;9276.585481;4692.026291;2585.583212;4404.198904;2559.674788;19221.55048;11361.30364;5256.847232;10570.77882;3514.922999;14671.73274;1424.450631;18322.17815;23424.85274;3347.266014;23804.48137;5960.827619;7243.675694;3220.975513;6714.878858;4572.251344;2332.389182;2438.079981;9002.517885;14608.32654;374.7363459;9152.238986;3153.803154;1850.648521;7835.090894;6860.273715;2929.245858;15487.58302;14341.17417;10169.04016;1955.656574;3904.509259;6995.786504;11786.35917;4370.090968;785.5304332;3467.163622;5399.918989;21044.45829;8026.640059
4946.670532;2751.595599;7881.716861;9131.757717;15972.58523;2171.75176;4689.335918;2816.797851;3314.358891;5314.149066;2909.091023;8374.909134;3148.002392;6618.359296;2571.540833;6434.965474;5042.393591;4669.352368;10313.01791;2233.218477;4863.176882;3203.549187;107.5624149;9301.3477;4690.143268;2542.111322;4385.325023;2589.684656;19270.74904;11417.83411;5236.104658;10617.70349;3505.269367;14795.91483;1430.41445;18409.34522;23514.80298;3375.42788;23830.65847;5982.900385;7249.95556;3223.961671;6718.019363;4501.708454;2328.986321;2448.804489;9137.262179;14629.56691;369.2064911;9232.528635;3180.70522;1835.760045;7813.898065;6893.272704;2927.660983;15614.97062;14459.11124;10123.47224;1945.96075;3897.77502;7085.599803;11873.77504;4408.97264;788.8056641;3493.828563;5403.339846;21107.62861;8057.751529
4962.902773;2758.199634;7906.185745;9133.181159;15652.42641;2165.021429;4695.925927;2785.767017;3258.736203;5159.532801;2912.23362;8371.67994;3172.678651;6607.151427;2596.795256;6418.895334;5044.961585;4671.730634;10335.70886;2213.809135;4862.318906;3271.47606;115.8202288;9330.474504;4687.020248;2500.943266;4375.086955;2626.323107;19320.45837;11475.56269;5216.182737;10667.98114;3492.597309;14929.74837;1438.431691;18487.82101;23608.9847;3401.505154;23862.29581;6010.037963;7253.007716;3225.004157;6719.995929;4411.00557;2324.856663;2461.612374;9267.692667;14660.63146;364.3287178;9322.262141;3207.103148;1817.597998;7801.774782;6924.54186;2926.13642;15749.47487;14583.62846;10059.04194;1937.893785;3890.581388;7184.627487;11955.78586;4447.242422;791.1879843;3520.633947;5404.349027;21174.03624;8104.600049
4982.362886;2762.752755;7925.431557;9135.000754;15260.58054;2157.534893;4702.784292;2768.786609;3190.720184;4987.993773;2916.06615;8366.666472;3200.993612;6600.956242;2623.233012;6397.188863;5046.07816;4672.762042;10363.27809;2192.540554;4864.231642;3341.172731;124.6840347;9363.004593;4682.675318;2461.938668;4372.448223;2668.475343;19369.8499;11533.44863;5197.280054;10720.35884;3478.200572;15072.31407;1448.173168;18558.04808;23706.80957;3425.66996;23898.52039;6041.209482;7253.190369;3224.396015;6721.085068;4304.356978;2320.253841;2476.223908;9391.831318;14700.34979;360.0411006;9419.437318;3232.618592;1796.81357;7798.892343;6954.352745;2924.821307;15888.1352;14711.98594;9979.646508;1931.439378;3883.078253;7290.820319;12032.2197;4484.523302;792.7527036;3547.143542;5403.407092;21242.63859;8165.092685
5004.384976;2765.602764;7939.551477;9137.002934;14811.34155;2149.632707;4709.828614;2764.075917;3113.39753;4805.178113;2920.568896;8359.657834;3232.527857;6599.57964;2650.341855;6370.381853;5045.541425;4672.260232;10394.34707;2169.841839;4868.352599;3411.677934;133.996325;9397.976666;4677.126565;2424.957151;4376.372354;2715.026563;19418.09506;11590.45121;5179.595194;10773.5837;3463.372901;15222.69268;1459.309695;18620.46898;23807.68926;3448.094426;23938.45918;6075.384072;7250.861727;3222.430291;6721.563289;4185.976964;2315.431481;2492.359363;9507.700101;14747.55147;356.2817147;9522.051978;3256.873205;1774.057949;7805.422047;6982.97692;2923.86478;16027.99106;14841.44379;9889.183166;1926.581231;3875.415505;7402.129064;12102.90464;4520.438269;793.5751318;3572.921116;5400.974605;21312.39305;8237.136502
